日期,收市,開市,高,低,成交量,升跌（%）
2022年5月31日,"32,991.97","33,027.03","33,240.15","32,754.75",444.89M,-0.67%
2022年5月27日,"33,213.55","32,735.09","33,213.62","32,688.70",309.63M,1.76%
2022年5月26日,"32,638.44","32,263.33","32,773.26","32,263.33",338.95M,1.61%
2022年5月25日,"32,121.53","31,816.31","32,254.29","31,754.33",333.13M,0.60%
2022年5月24日,"31,931.06","31,717.61","32,014.86","31,367.33",373.85M,0.16%
2022年5月23日,"31,880.64","31,497.56","31,968.42","31,484.02",389.26M,1.98%
2022年5月20日,"31,260.58","31,426.94","31,514.07","30,635.76",479.03M,0.02%
2022年5月19日,"31,253.26","31,262.62","31,567.57","31,018.06",503.76M,-0.76%
2022年5月18日,"31,493.56","32,468.67","32,468.67","31,394.68",443.96M,-3.56%
2022年5月17日,"32,655.05","32,609.54","32,687.62","32,310.20",376.08M,1.34%
2022年5月16日,"32,224.01","32,152.15","32,513.25","31,932.06",315.86M,0.09%
2022年5月13日,"32,195.94","31,976.40","32,275.82","31,862.79",374.10M,1.47%
2022年5月12日,"31,730.04","31,699.04","31,907.70","31,231.27",525.90M,-0.33%
2022年5月11日,"31,834.37","32,123.24","32,584.02","31,799.54",433.75M,-1.01%
2022年5月10日,"32,160.74","32,504.09","32,752.17","31,887.89",440.67M,-0.26%
2022年5月9日,"32,245.70","32,685.17","32,685.17","32,121.98",475.11M,-1.99%
2022年5月6日,"32,899.37","32,773.88","33,055.84","32,474.69",418.14M,-0.30%
2022年5月5日,"32,997.97","33,854.17","33,854.17","32,685.10",448.42M,-3.12%
2022年5月4日,"34,061.06","33,171.80","34,117.74","33,021.84",412.37M,2.81%
2022年5月3日,"33,128.79","33,086.09","33,341.58","32,914.75",364.42M,0.20%
2022年5月2日,"33,061.50","32,978.49","33,224.95","32,449.87",453.39M,0.26%
2022年4月29日,"32,977.21","33,787.01","33,919.59","32,913.15",501.56M,-2.77%
2022年4月28日,"33,916.39","33,425.96","34,054.79","33,248.46",451.60M,1.85%
2022年4月27日,"33,301.93","33,450.92","33,697.18","33,108.89",456.29M,0.19%
2022年4月26日,"33,240.18","33,907.49","33,909.51","33,230.95",403.70M,-2.38%
2022年4月25日,"34,049.46","33,731.65","34,106.01","33,323.37",418.00M,0.70%
2022年4月22日,"33,811.40","34,727.38","34,727.38","33,773.39",373.28M,-2.82%
2022年4月21日,"34,792.76","35,258.80","35,492.22","34,723.82",371.92M,-1.05%
2022年4月20日,"35,160.79","34,962.67","35,315.40","34,962.67",338.74M,0.71%
2022年4月19日,"34,911.20","34,394.62","34,983.11","34,394.62",303.44M,1.45%
2022年4月18日,"34,411.69","34,411.49","34,618.29","34,279.08",268.82M,-0.11%
2022年4月14日,"34,451.23","34,628.46","34,889.17","34,437.50",353.68M,-0.33%
2022年4月13日,"34,564.59","34,166.64","34,598.36","34,140.64",313.63M,1.01%
2022年4月12日,"34,220.36","34,412.51","34,669.97","34,102.81",333.51M,-0.26%
2022年4月11日,"34,308.08","34,630.27","34,701.34","34,272.29",336.63M,-1.19%
2022年4月8日,"34,721.12","34,569.24","34,908.46","34,470.19",306.19M,0.40%
2022年4月7日,"34,583.57","34,439.24","34,705.83","34,190.95",324.81M,0.25%
2022年4月6日,"34,496.51","34,520.34","34,609.84","34,277.17",386.25M,-0.42%
2022年4月5日,"34,641.18","34,876.33","35,112.21","34,566.04",308.98M,-0.80%
2022年4月4日,"34,921.88","34,799.98","34,940.78","34,615.38",317.56M,0.30%
2022年4月1日,"34,818.27","34,740.89","34,847.91","34,538.25",346.81M,0.40%
2022年3月31日,"34,678.35","35,201.52","35,201.52","34,677.99",438.36M,-1.56%
2022年3月30日,"35,228.81","35,273.63","35,361.36","35,058.58",324.67M,-0.19%
2022年3月29日,"35,294.19","35,114.35","35,372.26","35,030.07",355.05M,0.97%
2022年3月28日,"34,955.89","34,833.03","34,957.93","34,552.23",302.86M,0.27%
2022年3月25日,"34,861.24","34,702.39","34,942.70","34,631.52",287.07M,0.44%
2022年3月24日,"34,707.94","34,406.81","34,713.56","34,355.42",324.87M,1.02%
2022年3月23日,"34,358.50","34,748.84","34,748.84","34,352.96",349.59M,-1.29%
2022年3月22日,"34,807.46","34,583.24","34,882.03","34,583.24",368.55M,0.74%
2022年3月21日,"34,552.99","34,669.85","34,808.28","34,341.81",408.49M,-0.58%
